[run number],vaccination-rate,removal-rate,claim-rate,number-people,duration,bite-rate,infectiousness,chance-recover,[step],count turtles with [ sick? ],count turtles with [ exposed? ],count turtles with [ immune? ],count turtles,peak-sick,total-infected-ever,total-removed,total-claimed,total-died
1872,60,40,50,200,3,73,74,1,156,4,6,101,152,9,117,81,43,38
1869,60,40,50,200,3,73,74,1,156,0,0,97,235,5,19,80,26,54
1873,60,40,50,200,3,73,74,1,156,2,1,86,130,6,111,78,38,40
1874,60,40,50,200,3,73,74,1,156,0,0,91,164,13,86,79,34,45
1875,60,40,50,200,3,73,74,1,156,0,3,77,130,9,101,79,35,44
1876,60,40,50,200,3,73,74,1,156,1,2,95,116,10,132,78,32,46
1877,60,40,50,200,3,73,74,1,156,0,0,67,130,11,96,80,30,50
1878,60,40,50,200,3,73,74,1,156,1,1,77,125,10,116,84,35,49
1881,60,40,50,200,3,73,74,1,156,5,11,92,152,9,120,80,41,39
1880,60,40,50,200,3,73,74,1,156,3,6,69,98,11,147,74,27,47
1884,60,40,50,200,3,73,74,1,156,0,0,84,151,12,91,79,33,46
1879,60,40,50,200,3,73,74,1,156,1,1,108,148,7,114,80,40,40
1883,60,40,50,200,3,73,74,1,156,6,10,106,138,10,147,79,39,40
1882,60,40,50,200,3,73,74,1,156,2,3,103,147,9,139,80,32,48
1886,60,40,50,200,3,73,74,1,156,0,0,78,161,12,81,80,33,47
1887,60,40,50,200,3,73,74,1,156,4,6,96,122,9,140,82,41,41
1892,60,60,50,100,3,73,74,1,156,0,0,33,77,6,60,0,0,0
1885,60,40,50,200,3,73,74,1,156,3,0,100,133,10,127,80,43,37
1895,60,60,50,100,3,73,74,1,156,0,0,48,75,6,40,52,22,30
1888,60,40,50,200,3,73,74,1,156,0,0,93,163,8,83,79,35,44
1893,60,60,50,100,3,73,74,1,156,0,0,49,155,4,20,0,0,0
1896,60,60,50,100,3,73,74,1,156,0,0,34,70,5,33,59,21,38
1891,60,60,50,100,3,73,74,1,156,0,0,44,128,3,24,0,0,0
1894,60,60,50,100,3,73,74,1,156,0,0,69,179,4,14,0,0,0
1889,60,40,50,200,3,73,74,1,156,0,0,84,151,12,88,80,31,49
1890,60,40,50,200,3,73,74,1,156,2,1,85,123,9,116,80,39,41
1897,60,60,50,100,3,73,74,1,156,0,0,67,111,6,22,59,32,27
1899,60,60,50,100,3,73,74,1,156,0,0,29,52,6,69,44,19,25
1902,60,60,50,100,3,73,74,1,156,0,0,39,63,5,50,50,23,27
1901,60,60,50,100,3,73,74,1,156,0,0,39,95,5,45,0,0,0
1898,60,60,50,100,3,73,74,1,156,0,0,35,55,6,75,51,23,28
1900,60,60,50,100,3,73,74,1,156,0,1,45,65,6,61,64,24,40
1903,60,60,50,100,3,73,74,1,156,0,0,35,89,5,50,0,0,0
1907,60,60,50,100,3,73,74,1,156,0,0,41,74,5,37,55,24,31
1904,60,60,50,100,3,73,74,1,156,0,0,62,102,6,42,59,27,32
1905,60,60,50,100,3,73,74,1,156,0,0,34,49,6,81,43,17,26
1909,60,60,50,100,3,73,74,1,156,0,0,54,84,5,37,54,30,24
1906,60,60,50,100,3,73,74,1,156,0,0,49,171,3,3,0,0,0
1908,60,60,50,100,3,73,74,1,156,0,0,63,174,3,3,0,0,0
1911,60,60,50,100,3,73,74,1,156,0,1,43,80,6,79,0,0,0
1912,60,60,50,100,3,73,74,1,156,0,0,37,71,6,72,0,0,0
1913,60,60,50,100,3,73,74,1,156,0,0,38,88,6,61,0,0,0
1910,60,60,50,100,3,73,74,1,156,0,0,59,181,3,5,0,0,0
1915,60,60,50,100,3,73,74,1,156,0,0,43,79,6,43,50,22,28
1917,60,60,50,100,3,73,74,1,156,0,0,39,65,6,55,46,20,26
1919,60,60,50,100,3,73,74,1,156,0,0,48,75,6,61,56,23,33
1914,60,60,50,100,3,73,74,1,156,0,0,43,144,3,13,0,0,0
1920,60,60,50,100,3,73,74,1,156,0,0,69,118,4,24,59,30,29
1918,60,60,50,100,3,73,74,1,156,0,0,38,112,5,37,0,0,0
1916,60,60,50,100,3,73,74,1,156,0,0,50,159,4,9,0,0,0
1921,60,60,50,150,3,73,74,1,156,0,0,70,135,6,39,79,33,46
1922,60,60,50,150,3,73,74,1,156,0,0,84,164,6,22,90,36,54
1923,60,60,50,150,3,73,74,1,156,0,0,72,121,5,43,86,38,48
1924,60,60,50,150,3,73,74,1,156,0,0,73,135,6,36,89,35,54
1925,60,60,50,150,3,73,74,1,156,0,0,76,132,5,37,92,36,56
1926,60,60,50,150,3,73,74,1,156,0,0,75,118,6,62,85,47,38
1928,60,60,50,150,3,73,74,1,156,0,0,70,111,6,51,87,34,53
1927,60,60,50,150,3,73,74,1,156,0,0,66,127,6,53,95,40,55
1929,60,60,50,150,3,73,74,1,156,0,0,93,163,5,25,94,37,57
1930,60,60,50,150,3,73,74,1,156,0,0,74,134,6,41,87,38,49
1931,60,60,50,150,3,73,74,1,156,0,0,74,142,6,33,87,33,54
1932,60,60,50,150,3,73,74,1,156,0,0,80,142,6,42,80,35,45
1933,60,60,50,150,3,73,74,1,156,0,0,82,164,5,40,89,36,53
1934,60,60,50,150,3,73,74,1,156,0,0,82,147,6,44,87,40,47
1935,60,60,50,150,3,73,74,1,156,0,0,68,130,5,40,82,31,51
1938,60,60,50,150,3,73,74,1,156,0,0,56,107,6,44,89,25,64
1936,60,60,50,150,3,73,74,1,156,0,0,81,137,6,50,92,36,56
1937,60,60,50,150,3,73,74,1,156,0,0,71,121,6,55,94,40,54
1939,60,60,50,150,3,73,74,1,156,0,0,77,134,6,49,87,36,51
1940,60,60,50,150,3,73,74,1,156,0,0,78,140,6,37,88,39,49
1941,60,60,50,150,3,73,74,1,156,0,0,75,139,5,26,93,39,54
1943,60,60,50,150,3,73,74,1,156,0,0,69,118,5,43,87,40,47
1942,60,60,50,150,3,73,74,1,156,0,0,102,172,6,28,89,42,47
1946,60,60,50,150,3,73,74,1,156,0,0,62,113,7,57,91,36,55
1945,60,60,50,150,3,73,74,1,156,0,0,76,120,6,59,89,38,51
1947,60,60,50,150,3,73,74,1,156,0,0,73,126,5,36,89,39,50
1950,60,60,50,150,3,73,74,1,156,0,0,52,96,6,43,91,35,56
1948,60,60,50,150,3,73,74,1,156,0,0,96,161,6,49,89,47,42
1949,60,60,50,150,3,73,74,1,156,0,0,76,130,5,42,85,39,46
1944,60,60,50,150,3,73,74,1,156,0,0,89,162,6,34,89,39,50
1952,60,60,50,200,3,73,74,1,156,0,0,127,192,5,64,121,56,65
1953,60,60,50,200,3,73,74,1,156,0,0,104,183,7,47,122,52,70
1951,60,60,50,200,3,73,74,1,156,0,0,127,223,6,43,119,59,60
1955,60,60,50,200,3,73,74,1,156,0,0,106,211,6,26,118,43,75
1954,60,60,50,200,3,73,74,1,156,0,0,127,222,4,28,121,56,65
1958,60,60,50,200,3,73,74,1,156,0,0,85,131,5,64,118,51,67
1956,60,60,50,200,3,73,74,1,156,0,0,106,206,6,36,116,47,69
1957,60,60,50,200,3,73,74,1,156,0,0,80,162,6,48,117,55,62
1961,60,60,50,200,3,73,74,1,156,0,0,97,167,9,52,121,49,72
1959,60,60,50,200,3,73,74,1,156,0,0,136,239,6,42,121,59,62
1960,60,60,50,200,3,73,74,1,156,0,0,124,226,6,42,119,55,64
1962,60,60,50,200,3,73,74,1,156,0,0,114,216,6,32,120,54,66
1963,60,60,50,200,3,73,74,1,156,0,0,124,208,5,39,120,56,64
1966,60,60,50,200,3,73,74,1,156,0,0,108,193,7,44,119,54,65
1964,60,60,50,200,3,73,74,1,156,0,0,99,181,6,47,116,54,62
1965,60,60,50,200,3,73,74,1,156,0,0,116,219,6,38,120,51,69
1967,60,60,50,200,3,73,74,1,156,3,4,102,146,6,90,121,48,73
1969,60,60,50,200,3,73,74,1,156,0,0,83,166,5,40,121,44,77
1968,60,60,50,200,3,73,74,1,156,4,0,117,156,7,90,125,59,66
1970,60,60,50,200,3,73,74,1,156,0,0,95,164,5,57,124,46,78
1971,60,60,50,200,3,73,74,1,156,1,3,90,123,6,90,121,52,69
1972,60,60,50,200,3,73,74,1,156,1,2,118,148,7,97,118,66,52
1973,60,60,50,200,3,73,74,1,156,0,0,108,197,5,28,121,50,71
1981,60,80,50,100,3,73,74,1,156,0,0,40,57,6,47,68,33,35
1982,60,80,50,100,3,73,74,1,156,0,0,54,88,6,25,80,33,47
1975,60,60,50,200,3,73,74,1,156,0,0,101,172,9,60,121,45,76
1976,60,60,50,200,3,73,74,1,156,0,0,101,188,6,50,117,47,70
1983,60,80,50,100,3,73,74,1,156,0,0,47,67,6,43,79,35,44
1974,60,60,50,200,3,73,74,1,156,0,0,135,243,5,29,119,60,59
1978,60,60,50,200,3,73,74,1,156,0,0,82,126,6,82,116,44,72
1979,60,60,50,200,3,73,74,1,156,0,0,105,152,6,74,125,54,71
1977,60,60,50,200,3,73,74,1,156,0,0,120,207,5,36,119,49,70
1986,60,80,50,100,3,73,74,1,156,0,0,33,40,6,61,70,26,44
1980,60,60,50,200,3,73,74,1,156,0,1,104,144,7,80,122,52,70
1984,60,80,50,100,3,73,74,1,156,0,0,58,156,4,20,0,0,0
1988,60,80,50,100,3,73,74,1,156,0,0,63,84,5,31,73,36,37
1985,60,80,50,100,3,73,74,1,156,0,0,54,167,4,9,0,0,0
1990,60,80,50,100,3,73,74,1,156,0,0,48,77,6,47,67,34,33
1987,60,80,50,100,3,73,74,1,156,0,0,55,168,3,4,0,0,0
1989,60,80,50,100,3,73,74,1,156,0,0,39,117,5,41,0,0,0
1992,60,80,50,100,3,73,74,1,156,0,0,54,141,5,27,0,0,0
1991,60,80,50,100,3,73,74,1,156,0,0,69,93,6,45,81,36,45
1994,60,80,50,100,3,73,74,1,156,0,0,39,61,6,40,64,31,33
